Nama,Alamat,Telepon,Tags
Bandung Eye Center,Jl. Sumatera No.22 Bandung 40112,022-4214390,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Banjar Patroman,Jl. Stadion Patroman No.5 Kota Banjar-Jawa Barat,0265-2732532,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Banyumanik,Jl. Bina Remaja No.61,024-7471519,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Baptis Batu,"Jl. Raya Tlekung No.1 Junrejo, Batu",0341-594161/598192,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bayukarta,"JL. Kertabumi, No.44",0267-401817-18/400351/801818,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bedah Tht Prof. Nizar,Jl. Kesehatan No.9,021-3503435/34834982,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bella,"Jl. Ir. Juanda, No.141",021-8801775/880177/8819377,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Belleza Kedaton,"Jl.Sultan Haji Labuhan Ratu Bandar Lampung, Lampung",0721-773333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Berkat Melimpah Jababeka,"Jl.  Kawasan Industri I, Jababeka B8, Cikarang Utara Bekasi",021-8937941,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Beth Rapha Agave Insani,"Jl. Maulana Hasanudin Gg. Ampera Ii No.7-8, Poris Gaga, Batu Ceper Tangerang Banten",021-5445855,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bethesda Dental Care,"Mega Bekasi Hypermall Lt.1 No.179A, Jl. Jend A. Yani No.1 Bekasi",021-88856667,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bethesda Dental Care Jelambar,"Jl. Jelambar Jaya Raya No.15E-16B, Kel.Jelambar Baru, Kec.Grogol Petamburan, Jakarta Barat 11460",021-56968402,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bethesda Lempuyangwangi,Jl. Hayam Wuruk No.6,0274-512257/588002,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bethesda Medical Center,Jl. Ciwalen No. 43 Garut,0262-242663/238735,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bethesda Yogyakarta,Jl. Jend.Sudirman No.70 Yogyakarta,0274- 586688,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bethsaida,"District Tivolli Paramount Serpong, Jl. Boulevard Gading Serpong, Tangerang 15810",021-29309999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhaksena Idt (Bhakti Rahayu Group),"Jl. Diponogoro 150 Blok B 134 Pertokoan Genteng Biru, Denpasar Bali",0361-225597,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhaksena Klungkung (Bhakti Rahayu Group),Jl. Gajah Mada 29 Klungkung Bali,0366-218350,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhaksena Monang Maning (Bhakti Rahayu Group),Jl. Batukaru 89 Monang Maning Nusa Dua Bali,0361-481408,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhaksena Tragia (Bhakti Rahayu Group),"Jl. By Pass Ngurah Rai Kompleks Pertokoan Tragia Blok D 20-22 Nusa Dua, Denpasar, Bali",0361-776821,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Husada,Jl. Re. Martadinata Bypass Cikarang,021-8900530-31,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Husada II Purwakarta,"Jl. Raya Sadang Subang, Kp. Kiara Dua, Ds. Cikumpay, Kec. Campaka",0264-8225344/8225345,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Medicare,"Jl. Raya Siliwangi, Cicurug",0266-731555,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Rahayu - Dalung (Bhakti Rahayu Group),"Jl. Padang Luwih No.88 B, Dalung Kuta Bali",081339570644,"AXA Mandiri Financial Services, Corporate Solution"
Bhakti Rahayu - Dalung (Bhakti Rahayu Group),"Jl. Padang Luwih No.88 B, Dalung Kuta Bali",081339570644,"AXA Mandiri Financial Services, Individu Solution"
"Bhakti Rahayu - Dalung
(Bhakti Rahayu Group)","Jl. Padang Luwih No.88 B, Dalung Kuta Bali",081339570644,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Rahayu Ambon,"Jl. Batu Kerbau, Belakang Rri",0911-342746,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Rahayu Denpasar,"Jl. Gatot Subroto II, No.11",0361-430270/430245/7420673,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Rahayu Gianyar (Bhakti Rahayu Group),Jl. Astina Selatan 7 Gianyar Bali,0361-943397,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Rahayu Surabaya,Jl. Ketintang Madya I/16,031-8295922/8291799/8299217,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
"Bhakti Rahayu Tabanan
(Bhakti Rahayu Group)",Jl. Raya Batu Karu No.2 Tabanan Bali,0361-810805,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhakti Rahayu Tabanan (Bhakti Rahayu Group),Jl. Raya Batu Karu No.2 Tabanan Bali,0361-810805,"AXA Mandiri Financial Services, Individu Solution"
Bhakti Rahayu Tabanan (Bhakti Rahayu Group),Jl. Raya Batu Karu No.2 Tabanan Bali,0361-810805,"AXA Mandiri Financial Services, Corporate Solution"
Bhakti Yudha,Jl. Raya Sawangan No.2 Pancoran Mas Depok,021-7520082,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhayangkara Polda Bengkulu,"Jl. Veteran, No. 2",0736-341086/21553,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhayangkara Tk.1 R.Said Sukanto (Polri),Jl.  Raya Bogor Kramat Jati Rs Polri Jakarta Timur,021-8093288,"AXA Mandiri Financial Services, Corporate Solution"
Bhina Bhakti Husada Rembang,Jl. Pemuda KM. 04 Rembang Jawa Tengah,0295-6980777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhineka Bakti Husada,Jl. Cabe Raya No.17 Pondok Cabe Pamulang,021-7490018/7490829,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bhumyamca Medika,"Kawasan Komersial Cilandak, Jl.  Raya Cilandak Kko RT.13 RW.05 Cilandak Timur, Pasar Minggu Jakarta Selatan",021-7800550/7891409,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
BIC Bunda Pacific Place,"Pacific Place, Level B1 - 17A, Jl. Jend.Sudirman Kav.52-53 Jakarta Selatan",021-57973781 / 93,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
BIC Clinic Vida Bekasi,"Komplek Perumahan Vida, Jl.Tirta Utama No.1 Bumi Wedari Kel/Kec. Bantar Gebang, Bekasi - Jawa Barat",021-82633123,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
BIC Denpasar,"Jl.Gatot Subroto No.455X Padang Sambian Kaja Kec. Denpasar Barat, Denpasar - Bali",0361-427508,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bidadari,Jl. Perintis Kemerdekaan No. 17 A Kebun Lada Binjai,061–8830003,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bidakara Medical Center (BIMC),"Gedung Bina Sentra, Lt. Dasar Komp. Bidakara Kav.71-73 Jakarta Selatan",021-83783535/3636,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bina Husada Cibinong,"Jl. Mayor Oking No.101, Cibinong - Bogor",021-8751045/8758441/8753422,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bina Kasih,Jl. Jend.Tb Simatupang No.148 Sunggal Medan Sumatera Utara,061-8475111 / 8470307,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bina Medika,"Jl. Rasuna Said Kav.B7/A5-08 Sektor 7 Cbd Bintaro Jaya, Pondok Jaya, Pondok Aren, Tangerang Selatan",0431-7242525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bina Medika ( Group Karya Medika),"Kp. Kongsi, Cikarang – Bekasi",021-8900050/51,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bina Sehat,Jl. Jayanegara No.7,0331-422701/424304/421713,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bina Sehat Mandiri,"Jl. Duri Raya No.22 Kel. Duri Kepa, Kec. Kebon Jeruk, Jakarta Barat",021-5669411/ 5658870,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bintang Laut Palopo,Jl. K. HM. Hasyim No. 5 Palopo,0471-21302/21059,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bintaro Women and Children Clinic,"Jl. Senayan Utama Blok HJ2 No.12-14 Bintaro Sektor IX Pondok Aren,Tangerang Selatan - Banten",021-7450873,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Biomedika,Jl. Bung Karno No.143 Mataram NTB,0370-645137,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Biomedilab,"Jl. Tuparev Ruko Pintu Rel Kereta (Samping Lokus), Karawang Barat",0267-416972,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bogor Dental Center Clinic,"Jl. Ks Tubun Ruko 7 No.12, Cibuluh, Bogor Utara Jawa Barat",0251-8386178,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bogor Eye Center (Group Rs Bina Husada ),Jl. Mayor Oking No. 101 Cibinong,021-8751045,"AXA Mandiri Financial Services, Individu Solution"
Bogor Eye Center (Group Rs Bina Husada ),Jl. Mayor Oking No. 101 Cibinong,021-8751045,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bogor Eye Center (Group Rs Bina Husada ),Jl. Mayor Oking No. 101 Cibinong,021-8751045,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bogor Medical Center,Jl. Pajajaran Indah V/97 Bogor,0251-8307900/8390435/ 8346002,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bogor Senior Hospital,"Jl. Raya Tajur No.168 Muara Sari, Bogor Selatan, Jawa Barat",0251-7556777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bona Medika Cilegon,"Festival Ruko, Blok B10-11, Bonakarta",0254-387684,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bona Medika Serang,Jl. Raya Serang Cilegon Km. 3 Ruko Legok Sukmajaya No. 5A1,0254 228005,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brawijaya Clinic (BWCC) UOB,Jl. MH Thamrin No.10 ANZ Square (UOB Plaza) Basement 1 Unit C-13 Jakarta Pusat,021-29261880,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brawijaya Clinic Buah Batu Bandung,"Jl. KH. Achmad Dahlan (Jl. Banteng) No. 40, Buah Batu, Bandung",022-7308104,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brawijaya Clinic Oktroi Plaza,Jl. Kemang Raya No. 83 H Jakarta Selatan,021-22717656/22716359,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
"Brawijaya Hospital Duren Tiga
(d/h RSIA Duren Tiga)","Jl. Duren Tiga Raya, No.5, Pancoran",021- 794 1843 / 7993817 /794869,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brawijaya Hospital Sawangan,"Jl. Raya Ciputat Parung, Bojongsari, Sawangan Depok Jawa Barat",021-29836512,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brawijaya Hospital Tangerang (d/h RS Permata Ibu Tangerang),Jl. K. H Mas Mansur No. 2 Kunciran Tangerang 15145,021-7334343,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brawijaya Saharjo,"Jl. Dr. Sahardjo No.199 Tebet Barat, Jakarta Selatan",021-39737890,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brawijaya Women & Children Hospital,Jl. Taman Brawijaya No.1 Cipete Utara,021-7211337,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Brayat Minulya,Jl. Dr.Setiabudi No.106 Surakarta,0271-716646/710571/710170,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Buah Hati Ciputat,Jl. Aria Putra No 399 Serua Indah Ciputat - Tangerang,021-74632222,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Buah Hati Pamulang,Jl. Raya Siliwangi No 189 Pondok Benda Pamulang,021-7414488,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budhi Jaya,"Jl. Dr. Saharjo, No.120",021-8292672/8311722,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budhi Mulia,"Jl. Soekarno Hatta No.226-228 Arengka,Pekanbaru Riau",0761-3069900/8417200,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budhi Pratama,"BPRI Center Ged. B, Jl. Raya Tengah No.26 Gedong, Pasar Rebo, Jakarta Timur",021-87783668,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budhi Pratama Kalisari,"Jl. Kalisari 2 No.120 Kalisari, Pasar Rebo, Jakarta Timur",021-29627538,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Asih,"Jl. KH. Sohari No. 39 Serang, Banten",0254-212484,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Asih Cikarang,"Jl. Raya Serang - Cibarusah RT.01 / RW.01 Serang Kec.Cikarang Selatan, Bekasi",021-89677795,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Asih Cikarang (Mega Regency),"Perumahan Mega Regency Blok Cd 6 No.2 Sukaragam, Serang Baru, Cikarang Bekasi Jawa Barat",021-89677795,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Kemuliaan Batam,Jl. Budi Kemuliaan No.1 Batam,0778-426865/454044,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Lestari,"Jl. Kh.Noer Alie, No.2 Depan Perumnas Ii, Kalimalang",021-8842336/8893486,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Luhur,Jl. Raya Imam Bonjol No. 74 Desa Sukadanau (Depan Polsek Cikarang Barat),021-88327226,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Luhur I,"Jl. Imam Bonjol Ii Rt.03/Rw.03 Desa Telaga Asih, Cikarang Barat, Cikarang, Jawa Barat",021-88320116,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Mulia Bitung,Jl Sam Ratulangi Blok X / 9A Bitung Sulawesi Utara,0438-21332/21442,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Rahayu Pekalongan,"Jl. Barito, No.5",0285-423491/424340,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Budi Sehat Purworejo,Jl. W.R. Supratman No.183 Cangkrep Lor Purworejo Jawa Tengah,0275-3128272,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bumi Waras,"Jl. Wolter Monginsidi, No.235",0721-254589,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda,"Jl. Rajawali No. 36, Pendem,",0365-40251 / 087863229569,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Aliyah,Jl. Pahlawan Revolusi No.100 Pondok Bambu,021-86602525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Aliyah Depok,Jl. Kartini No.2 Pancoranmas Kota Depok 16431 – Jawa Barat,021 - 77803600,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Asy-Syifa,Jl. Dr. Susilo No. 54 Pahoman Teluk Betung Utara Bandar Lampung,0721-259259/256256,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Ciputat (dh. RSIA Citra Ananda),"Jl. Re Martadinata No. 30, Ciputat Tangerang Banten",021-7401347,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Dalima Hospital,"Bumi Serpong Damai, Sektor Xiv, Blok J.11, No.1",021-53154447-49,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Denpasar (Dh. BIC Denpasar),"Jl.Gatot Subroto No.455X Padang Sambian Kaja Kec. Denpasar Barat, Denpasar - Bali",0361-427508,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda International Clinic,"Jl. Teuku Cik Ditiro No. 12, Menteng",021-3926393,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Jakarta,"Jl. Teuku Cik Ditiro No. 21, Menteng",021-31922005,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Margonda,Jl. Margonda Raya No.28 Pondok Cina-Depok 16424,021-78890551,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Medical Center (RSU C-BMC),Jl. Proklamasi No.31-33-37 Padang,0751-23164/29536/21151/24750,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Mulia (d/h RSIA. Sritina),Jl. Imam Bonjol No.80A Cikarang Barat Bekasi,021-8900579,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
"Bunda Padang
(d/h Bunda Medical Center/RSU C-BMC)",Jl. Proklamasi No.31-33-37 Padang,0751-23164/29536/21151/24750,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Palembang,"Jl. Demang Lebar Daun, Palembang",0711-312866/311866,"AXA Mandiri Financial Services, Corporate Solution"
Bunda Pengharapan,"Jl. Raya Angkasa, Kelapa Lima",0971-325906,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Purwokerto,"Jl. Pramuka, No.249",0281-635424/632514,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Sejahtera,"Jl. Raya Puri Agung No 3, Kota Baru- Pasar Kemis",021-5925876/5925889,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Sejati,"Jl. Prabu Siliwangi No.11, Jatiuwung Tangerang Banten",021-5900136/ 59315850,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Surabaya,Jl. Raya Kandangan No.23-24 Benowo,031-7442220/7440077/7400694,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Suryatni,"Jl. KH Soleh Iskandar No.21 Cibadak Tanah Sareal,Bogor 16161",0251-7543892,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Thamrin Aceh,"Jl. Dr. Mr T H Moh.Hasan No.50-53, Gp Batoh, Kec Lueng Bata, Kota Banda Aceh",0651-8010832,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunda Thamrin Medan,Jl. Sei Batang Hari No. 28/30 Medan Sunggal,061-4553928/4557318/4557218,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bunga Emas,Jl. Melati No.1 Denpasar Bali 80233,0361-4457278,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Bungsu,"Jl. Veteran, No.6 Bandung",022-4231550,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cahaya Bunda,"Jl. Raya Perjuangan No.8 Kesambi,Cirebon, Jawa Barat",0231-8333388/99,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cahaya Medika,"Jl. Gajah Mada, Wakan, Kel. Leneng, Kec. Praya, Lombok Tengah - Ntb",0878-6558-4448,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cahya Kawaluyan,Jl. Parahyangan Km.3 Kav.Hos Padalarang,022-6803700,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cakra Husada Klaten,"Jl. Merbabu, No.7",0272-321123/322386/322394,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Candi Eye Center,"Jl. Dr. Wahudin Fhg 002, Semarang, Jawa Tengah",024-8501426/29221000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cempaka Az Zahra,"Jl. Syiah Kuala, Kampung Mulia
Banda Aceh 0651 - 31066",0651-31066,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cempaka Lima,"Jl. Politeknik No 23, Meunasah Dayah, Lr B, Gp Beurawe, Kec. Kuta Alam, Banda Aceh - Aceh",0822-99888102,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cendana,Jl. Raya Kedoya No.2 Kebon Jeruk Jakarta Barat,021-29863838,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Cenka,"Jl. Pilar Sukatani, Sukaraya RT.05 RW.06 Karang Bahagia Bekasi Jawa Barat",021-89121188 / 89111103,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
