nama_rumah_sakit,alamat,telp,text
Aura Syifa,Jl. Joyoboyo No.42 Dlopo,0354-671939,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Joyoboyo No.42 Dlopo"
Avisena,"Jl.  Melongasih No.170 Cijerah, Cimahi Jawa Barat",022 - 6000830,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cimahi Jawa Barat"
Awal Bros A. Yani Pekanbaru,Jl. Jend. A. Yani No.73 Pekanbaru Riau,0761-8410179 / 21000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend. A. Yani No.73 Pekanbaru Riau"
Awal Bros Batam,Jl. Gajah Mada Kav.1 Baloi,0778-431777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Gajah Mada Kav.1 Baloi"
Awal Bros Betang Pambelum,"Jl. Tjilik Riwut Km.6,6 RT.005/ 008 Bukit Tunggal, Jekan Raya, Palangkaraya Kalimantan Tengah",0536-4281888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Palangkaraya Kalimantan Tengah"
Awal Bros Makassar,Jl. Jend. Urip Sumoharjo No.43 Makassar,0411-454567/452725,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend. Urip Sumoharjo No.43 Makassar"
Awal Bros Panam,Jl. H.R Subrantas RT.01/03 Pekanbaru,0761-586888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. H.R Subrantas RT.01/03 Pekanbaru"
Awal Bros Pekanbaru,Jl. Jend Sudirman No.117,0761-47333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend Sudirman No.117"
Awal Bros Tangerang,Jl. Mh.Thamrin No.3 Kebon Nanas -Cikokol,021-55780888/55781234,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Mh.Thamrin No.3 Kebon Nanas -Cikokol"
Awal Bros Ujung Batu,Jl. Jend. Sudirman No. 314 Ujung Batu Rokan Hulu Riau,0762-7363329,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend. Sudirman No. 314 Ujung Batu Rokan Hulu Riau"
Awal Bross Panam,Jl. H.R Subrantas RT.01/03 Pekanbaru,0761-586888,"AXA Mandiri Financial Services, Individu Solution | Jl. H.R Subrantas RT.01/03 Pekanbaru"
Awal Bross Ujung Batu,Jl. Jend. Sudirman No. 314 Ujung Batu Rokan Hulu Riau,0762-7363329,"AXA Mandiri Financial Services, Individu Solution | Jl. Jend. Sudirman No. 314 Ujung Batu Rokan Hulu Riau"
Azka Nadhifa,"Jl. Wijaya Kusuma Raya No.8 Makassar, Sulawesi Selatan",82188190197,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sulawesi Selatan"
Azra,"Jl. Raya Pajajaran, No.219 Bogor",0251-8318456,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.219 Bogor"
Az-Zahra,"Jl. Kartini No.109 Kalirejo, Lampung Tengah, Lampung",0729-370089,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Lampung"
Azzahra Palembang,"Jl. Brigjen Hasan Kasim No.1-2 Kel. Bukit Sangkal Kec. Kalidoni, Palembang Sumatera Selatan",0711-822723,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Palembang Sumatera Selatan"
Baiturrahim Jambi,Jl. Prof M. Yamin SH No.30 Lebak Bandung Jambi,0741-35165,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Prof M. Yamin SH No.30 Lebak Bandung Jambi"
Bakti Timah,"Jl. Canggai Putri, Teluk Uma, Tebing, Tanjung Balai Karimun",0777-7367085/7367176,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tanjung Balai Karimun"
Bakti Timah Pangkal Pinang,Jl. Bukit Baru No.1 Pangkal Pinang,0717-421091,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Bukit Baru No.1 Pangkal Pinang"
Bali Dental Care,JL. Pakubuwono VI No.111 Jakarta Selatan,021-7223391/7223391,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | JL. Pakubuwono VI No.111 Jakarta Selatan"
Bali Jimbaran,"Jl. Kampus Unud No.52, Jimbaran Kuta Selatan",0361-4725123 / 081238977403,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jimbaran Kuta Selatan"
Bali Medistra ( Balimed ),"JL. Mahendradatta, No. 57X, Denpasar",0361-484748/8450771/8450772,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Denpasar"
Bali Royal,Jl. Tantular No. 6 Renon,0361-247499/222588/228054,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Tantular No. 6 Renon"
Balikpapan Baru,Komp. Balikpapan Baru Jl. Mt.Haryono Blok. A-A3,0542-877330,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Komp. Balikpapan Baru Jl. Mt.Haryono Blok. A-A3"
Balimed Buleleng,"Jl. Gunung Lempuyang No.9X Lingkungan Tegal Asatan, Banjar Tegal, Buleleng, Bali",0362-3307788,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bali"
Balimed Karangasem,"Jl. Nenas Kecicang Bebandem, Karangasem, Bali",0363- 4301618,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bali"
Balimed Negara,"Jl. Hayam Wuruk No. 23 Ds. Dangintukadaya, Kec. Jembrana, Kab. Jembarana, Bali",0365-4501452,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bali"
Bandung Eye Center,Jl. Sumatera No.22 Bandung 40112,022-4214390,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Sumatera No.22 Bandung 40112"
Banjar Patroman,Jl. Stadion Patroman No.5 Kota Banjar-Jawa Barat,0265-2732532,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Stadion Patroman No.5 Kota Banjar-Jawa Barat"
Banyumanik,Jl. Bina Remaja No.61,024-7471519,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Bina Remaja No.61"
Baptis Batu,"Jl. Raya Tlekung No.1 Junrejo, Batu",0341-594161/598192,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Batu"
Bayukarta,"JL. Kertabumi, No.44",0267-401817-18/400351/801818,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.44"
Bedah Tht Prof. Nizar,Jl. Kesehatan No.9,021-3503435/34834982,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kesehatan No.9"
Bella,"Jl. Ir. Juanda, No.141",021-8801775/880177/8819377,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.141"
Belleza Kedaton,"Jl.Sultan Haji Labuhan Ratu Bandar Lampung, Lampung",0721-773333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Lampung"
Berkat Melimpah Jababeka,"Jl.  Kawasan Industri I, Jababeka B8, Cikarang Utara Bekasi",021-8937941,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang Utara Bekasi"
Beth Rapha Agave Insani,"Jl. Maulana Hasanudin Gg. Ampera Ii No.7-8, Poris Gaga, Batu Ceper Tangerang Banten",021-5445855,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Batu Ceper Tangerang Banten"
Bethesda Dental Care,"Mega Bekasi Hypermall Lt.1 No.179A, Jl. Jend A. Yani No.1 Bekasi",021-88856667,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend A. Yani No.1 Bekasi"
Bethesda Dental Care Jelambar,"Jl. Jelambar Jaya Raya No.15E-16B, Kel.Jelambar Baru, Kec.Grogol Petamburan, Jakarta Barat 11460",021-56968402,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Barat 11460"
Bethesda Lempuyangwangi,Jl. Hayam Wuruk No.6,0274-512257/588002,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Hayam Wuruk No.6"
Bethesda Medical Center,Jl. Ciwalen No. 43 Garut,0262-242663/238735,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ciwalen No. 43 Garut"
Bethesda Yogyakarta,Jl. Jend.Sudirman No.70 Yogyakarta,0274- 586688,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend.Sudirman No.70 Yogyakarta"
Bethsaida,"District Tivolli Paramount Serpong, Jl. Boulevard Gading Serpong, Tangerang 15810",021-29309999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang 15810"
Bhaksena Idt (Bhakti Rahayu Group),"Jl. Diponogoro 150 Blok B 134 Pertokoan Genteng Biru, Denpasar Bali",0361-225597,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Denpasar Bali"
Bhaksena Klungkung (Bhakti Rahayu Group),Jl. Gajah Mada 29 Klungkung Bali,0366-218350,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Gajah Mada 29 Klungkung Bali"
Bhaksena Monang Maning (Bhakti Rahayu Group),Jl. Batukaru 89 Monang Maning Nusa Dua Bali,0361-481408,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Batukaru 89 Monang Maning Nusa Dua Bali"
Bhaksena Tragia (Bhakti Rahayu Group),"Jl. By Pass Ngurah Rai Kompleks Pertokoan Tragia Blok D 20-22 Nusa Dua, Denpasar, Bali",0361-776821,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bali"
Bhakti Husada,Jl. Re. Martadinata Bypass Cikarang,021-8900530-31,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Re. Martadinata Bypass Cikarang"
Bhakti Husada II Purwakarta,"Jl. Raya Sadang Subang, Kp. Kiara Dua, Ds. Cikumpay, Kec. Campaka",0264-8225344/8225345,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Campaka"
Bhakti Medicare,"Jl. Raya Siliwangi, Cicurug",0266-731555,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cicurug"
Bhakti Rahayu - Dalung (Bhakti Rahayu Group),"Jl. Padang Luwih No.88 B, Dalung Kuta Bali",081339570644,"AXA Mandiri Financial Services, Corporate Solution | Dalung Kuta Bali"
Bhakti Rahayu - Dalung (Bhakti Rahayu Group),"Jl. Padang Luwih No.88 B, Dalung Kuta Bali",081339570644,"AXA Mandiri Financial Services, Individu Solution | Dalung Kuta Bali"
"Bhakti Rahayu - Dalung
(Bhakti Rahayu Group)","Jl. Padang Luwih No.88 B, Dalung Kuta Bali",081339570644,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Dalung Kuta Bali"
Bhakti Rahayu Ambon,"Jl. Batu Kerbau, Belakang Rri",0911-342746,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Belakang Rri"
Bhakti Rahayu Denpasar,"Jl. Gatot Subroto II, No.11",0361-430270/430245/7420673,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.11"
Bhakti Rahayu Gianyar (Bhakti Rahayu Group),Jl. Astina Selatan 7 Gianyar Bali,0361-943397,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Astina Selatan 7 Gianyar Bali"
Bhakti Rahayu Surabaya,Jl. Ketintang Madya I/16,031-8295922/8291799/8299217,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ketintang Madya I/16"
"Bhakti Rahayu Tabanan
(Bhakti Rahayu Group)",Jl. Raya Batu Karu No.2 Tabanan Bali,0361-810805,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Batu Karu No.2 Tabanan Bali"
Bhakti Rahayu Tabanan (Bhakti Rahayu Group),Jl. Raya Batu Karu No.2 Tabanan Bali,0361-810805,"AXA Mandiri Financial Services, Individu Solution | Jl. Raya Batu Karu No.2 Tabanan Bali"
Bhakti Rahayu Tabanan (Bhakti Rahayu Group),Jl. Raya Batu Karu No.2 Tabanan Bali,0361-810805,"AXA Mandiri Financial Services, Corporate Solution | Jl. Raya Batu Karu No.2 Tabanan Bali"
Bhakti Yudha,Jl. Raya Sawangan No.2 Pancoran Mas Depok,021-7520082,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Sawangan No.2 Pancoran Mas Depok"
Bhayangkara Polda Bengkulu,"Jl. Veteran, No. 2",0736-341086/21553,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No. 2"
Bhayangkara Tk.1 R.Said Sukanto (Polri),Jl.  Raya Bogor Kramat Jati Rs Polri Jakarta Timur,021-8093288,"AXA Mandiri Financial Services, Corporate Solution | Jl.  Raya Bogor Kramat Jati Rs Polri Jakarta Timur"
Bhina Bhakti Husada Rembang,Jl. Pemuda KM. 04 Rembang Jawa Tengah,0295-6980777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Pemuda KM. 04 Rembang Jawa Tengah"
Bhineka Bakti Husada,Jl. Cabe Raya No.17 Pondok Cabe Pamulang,021-7490018/7490829,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Cabe Raya No.17 Pondok Cabe Pamulang"
Bhumyamca Medika,"Kawasan Komersial Cilandak, Jl.  Raya Cilandak Kko RT.13 RW.05 Cilandak Timur, Pasar Minggu Jakarta Selatan",021-7800550/7891409,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pasar Minggu Jakarta Selatan"
BIC Bunda Pacific Place,"Pacific Place, Level B1 - 17A, Jl. Jend.Sudirman Kav.52-53 Jakarta Selatan",021-57973781 / 93,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend.Sudirman Kav.52-53 Jakarta Selatan"
BIC Clinic Vida Bekasi,"Komplek Perumahan Vida, Jl.Tirta Utama No.1 Bumi Wedari Kel/Kec. Bantar Gebang, Bekasi - Jawa Barat",021-82633123,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi - Jawa Barat"
BIC Denpasar,"Jl.Gatot Subroto No.455X Padang Sambian Kaja Kec. Denpasar Barat, Denpasar - Bali",0361-427508,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Denpasar - Bali"
Bidadari,Jl. Perintis Kemerdekaan No. 17 A Kebun Lada Binjai,061–8830003,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Perintis Kemerdekaan No. 17 A Kebun Lada Binjai"
Bidakara Medical Center (BIMC),"Gedung Bina Sentra, Lt. Dasar Komp. Bidakara Kav.71-73 Jakarta Selatan",021-83783535/3636,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Lt. Dasar Komp. Bidakara Kav.71-73 Jakarta Selatan"
Bina Husada Cibinong,"Jl. Mayor Oking No.101, Cibinong - Bogor",021-8751045/8758441/8753422,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cibinong - Bogor"
Bina Kasih,Jl. Jend.Tb Simatupang No.148 Sunggal Medan Sumatera Utara,061-8475111 / 8470307,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend.Tb Simatupang No.148 Sunggal Medan Sumatera Utara"
Bina Medika,"Jl. Rasuna Said Kav.B7/A5-08 Sektor 7 Cbd Bintaro Jaya, Pondok Jaya, Pondok Aren, Tangerang Selatan",0431-7242525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Selatan"
Bina Medika ( Group Karya Medika),"Kp. Kongsi, Cikarang – Bekasi",021-8900050/51,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang – Bekasi"
Bina Sehat,Jl. Jayanegara No.7,0331-422701/424304/421713,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jayanegara No.7"
Bina Sehat Mandiri,"Jl. Duri Raya No.22 Kel. Duri Kepa, Kec. Kebon Jeruk, Jakarta Barat",021-5669411/ 5658870,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Barat"
Bintang Laut Palopo,Jl. K. HM. Hasyim No. 5 Palopo,0471-21302/21059,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. K. HM. Hasyim No. 5 Palopo"
Bintaro Women and Children Clinic,"Jl. Senayan Utama Blok HJ2 No.12-14 Bintaro Sektor IX Pondok Aren,Tangerang Selatan - Banten",021-7450873,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Selatan - Banten"
Biomedika,Jl. Bung Karno No.143 Mataram NTB,0370-645137,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Bung Karno No.143 Mataram NTB"
Biomedilab,"Jl. Tuparev Ruko Pintu Rel Kereta (Samping Lokus), Karawang Barat",0267-416972,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karawang Barat"
Bogor Dental Center Clinic,"Jl. Ks Tubun Ruko 7 No.12, Cibuluh, Bogor Utara Jawa Barat",0251-8386178,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bogor Utara Jawa Barat"
Bogor Eye Center (Group Rs Bina Husada ),Jl. Mayor Oking No. 101 Cibinong,021-8751045,"AXA Mandiri Financial Services, Individu Solution | Jl. Mayor Oking No. 101 Cibinong"
Bogor Eye Center (Group Rs Bina Husada ),Jl. Mayor Oking No. 101 Cibinong,021-8751045,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Mayor Oking No. 101 Cibinong"
Bogor Eye Center (Group Rs Bina Husada ),Jl. Mayor Oking No. 101 Cibinong,021-8751045,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Mayor Oking No. 101 Cibinong"
Bogor Medical Center,Jl. Pajajaran Indah V/97 Bogor,0251-8307900/8390435/ 8346002,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Pajajaran Indah V/97 Bogor"
Bogor Senior Hospital,"Jl. Raya Tajur No.168 Muara Sari, Bogor Selatan, Jawa Barat",0251-7556777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Bona Medika Cilegon,"Festival Ruko, Blok B10-11, Bonakarta",0254-387684,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bonakarta"
Bona Medika Serang,Jl. Raya Serang Cilegon Km. 3 Ruko Legok Sukmajaya No. 5A1,0254 228005,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Serang Cilegon Km. 3 Ruko Legok Sukmajaya No. 5A1"
Brawijaya Clinic (BWCC) UOB,Jl. MH Thamrin No.10 ANZ Square (UOB Plaza) Basement 1 Unit C-13 Jakarta Pusat,021-29261880,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. MH Thamrin No.10 ANZ Square (UOB Plaza) Basement 1 Unit C-13 Jakarta Pusat"
Brawijaya Clinic Buah Batu Bandung,"Jl. KH. Achmad Dahlan (Jl. Banteng) No. 40, Buah Batu, Bandung",022-7308104,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bandung"
Brawijaya Clinic Oktroi Plaza,Jl. Kemang Raya No. 83 H Jakarta Selatan,021-22717656/22716359,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kemang Raya No. 83 H Jakarta Selatan"
"Brawijaya Hospital Duren Tiga
(d/h RSIA Duren Tiga)","Jl. Duren Tiga Raya, No.5, Pancoran",021- 794 1843 / 7993817 /794869,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pancoran"
Brawijaya Hospital Sawangan,"Jl. Raya Ciputat Parung, Bojongsari, Sawangan Depok Jawa Barat",021-29836512,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sawangan Depok Jawa Barat"
Brawijaya Hospital Tangerang (d/h RS Permata Ibu Tangerang),Jl. K. H Mas Mansur No. 2 Kunciran Tangerang 15145,021-7334343,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. K. H Mas Mansur No. 2 Kunciran Tangerang 15145"
Brawijaya Saharjo,"Jl. Dr. Sahardjo No.199 Tebet Barat, Jakarta Selatan",021-39737890,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan"
Brawijaya Women & Children Hospital,Jl. Taman Brawijaya No.1 Cipete Utara,021-7211337,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Taman Brawijaya No.1 Cipete Utara"
Brayat Minulya,Jl. Dr.Setiabudi No.106 Surakarta,0271-716646/710571/710170,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Dr.Setiabudi No.106 Surakarta"
Buah Hati Ciputat,Jl. Aria Putra No 399 Serua Indah Ciputat - Tangerang,021-74632222,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Aria Putra No 399 Serua Indah Ciputat - Tangerang"
Buah Hati Pamulang,Jl. Raya Siliwangi No 189 Pondok Benda Pamulang,021-7414488,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Siliwangi No 189 Pondok Benda Pamulang"
Budhi Jaya,"Jl. Dr. Saharjo, No.120",021-8292672/8311722,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.120"
Budhi Mulia,"Jl. Soekarno Hatta No.226-228 Arengka,Pekanbaru Riau",0761-3069900/8417200,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pekanbaru Riau"
Budhi Pratama,"BPRI Center Ged. B, Jl. Raya Tengah No.26 Gedong, Pasar Rebo, Jakarta Timur",021-87783668,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur"
Budhi Pratama Kalisari,"Jl. Kalisari 2 No.120 Kalisari, Pasar Rebo, Jakarta Timur",021-29627538,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur"
Budi Asih,"Jl. KH. Sohari No. 39 Serang, Banten",0254-212484,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
